iter	Passed	Remaining
0	137	137268
1	140	69896
2	142	47479
3	145	36248
4	148	29494
5	150	25012
6	153	21830
7	156	19406
8	159	17541
9	161	16029
10	164	14803
11	167	13768
12	170	12912
13	172	12160
14	175	11514
15	177	10938
16	180	10440
17	183	9992
18	185	9601
19	188	9245
20	191	8913
21	193	8611
22	196	8342
23	199	8093
24	201	7864
25	204	7659
26	207	7466
27	209	7278
28	212	7116
29	215	6961
30	217	6812
31	220	6682
32	223	6550
33	226	6421
34	228	6306
35	231	6189
36	233	6081
37	236	5985
38	238	5886
39	241	5798
40	244	5709
41	246	5623
42	249	5543
43	251	5471
44	254	5400
45	257	5330
46	259	5265
47	262	5202
48	265	5144
49	267	5088
50	270	5035
51	273	4979
52	275	4928
53	278	4880
54	281	4834
55	284	4788
56	286	4746
57	289	4699
58	291	4657
59	294	4612
60	296	4569
61	299	4529
62	302	4492
63	304	4456
64	307	4424
65	310	4387
66	312	4350
67	314	4315
68	317	4284
69	320	4252
70	322	4220
71	325	4192
72	327	4164
73	330	4134
74	333	4107
75	335	4082
76	338	4058
77	341	4033
78	343	4008
79	346	3984
80	349	3965
81	352	3944
82	354	3921
83	357	3898
84	360	3877
85	362	3857
86	365	3839
87	368	3819
88	371	3799
89	373	3779
90	376	3760
91	379	3741
92	381	3724
93	384	3707
94	387	3689
95	389	3672
96	392	3654
97	395	3639
98	398	3625
99	401	3609
100	403	3592
101	406	3576
102	408	3560
103	411	3547
104	414	3534
105	417	3520
106	420	3505
107	422	3489
108	425	3474
109	427	3459
110	430	3447
111	432	3432
112	435	3418
113	437	3403
114	440	3389
115	442	3374
116	445	3361
117	448	3349
118	450	3335
119	453	3322
120	455	3308
121	457	3295
122	460	3283
123	463	3271
124	465	3259
125	468	3246
126	470	3234
127	473	3222
128	475	3211
129	478	3200
130	480	3188
131	483	3177
132	485	3166
133	488	3154
134	490	3144
135	493	3133
136	495	3122
137	498	3113
138	501	3103
139	503	3093
140	506	3084
141	508	3074
142	511	3065
143	514	3056
144	516	3047
145	519	3037
146	521	3028
147	524	3018
148	526	3008
149	529	3000
150	532	2991
151	534	2981
152	537	2973
153	539	2963
154	541	2954
155	544	2945
156	547	2938
157	549	2929
158	552	2921
159	554	2912
160	557	2903
161	559	2895
162	562	2887
163	564	2879
164	567	2871
165	570	2864
166	572	2856
167	575	2848
168	577	2840
169	580	2834
170	582	2826
171	585	2817
172	587	2810
173	590	2803
174	592	2794
175	595	2787
176	597	2779
177	600	2772
178	602	2764
179	605	2757
180	607	2749
181	610	2742
182	613	2737
183	615	2731
184	618	2724
185	620	2717
186	623	2710
187	625	2703
188	628	2697
189	631	2690
190	633	2684
191	636	2677
192	638	2670
193	641	2663
194	643	2658
195	646	2651
196	649	2645
197	651	2639
198	654	2633
199	656	2627
200	659	2620
201	661	2615
202	664	2608
203	666	2601
204	669	2595
205	671	2588
206	674	2582
207	676	2577
208	679	2572
209	682	2565
210	684	2559
211	687	2553
212	689	2547
213	691	2541
214	694	2536
215	697	2530
216	699	2524
217	702	2518
218	704	2512
219	707	2506
220	709	2501
221	712	2496
222	714	2490
223	717	2485
224	719	2479
225	722	2474
226	725	2469
227	727	2464
228	730	2459
229	733	2454
230	735	2449
231	738	2443
232	740	2438
233	743	2433
234	745	2428
235	748	2422
236	750	2417
237	753	2411
238	755	2406
239	758	2401
240	761	2396
241	763	2391
242	766	2386
243	768	2382
244	771	2377
245	773	2372
246	776	2367
247	778	2361
248	781	2356
249	784	2352
250	786	2348
251	789	2343
252	792	2339
253	794	2334
254	797	2329
255	799	2324
256	802	2319
257	804	2314
258	807	2310
259	810	2306
260	813	2302
261	815	2297
262	818	2294
263	821	2289
264	824	2286
265	827	2282
266	829	2278
267	832	2274
268	835	2269
269	837	2265
270	840	2261
271	843	2257
272	846	2253
273	848	2248
274	851	2244
275	853	2239
276	856	2236
277	859	2232
278	862	2227
279	864	2223
280	867	2219
281	870	2215
282	872	2210
283	875	2207
284	877	2202
285	880	2198
286	883	2194
287	885	2190
288	888	2186
289	891	2182
290	894	2179
291	897	2175
292	899	2170
293	902	2167
294	905	2163
295	908	2160
296	910	2156
297	913	2152
298	916	2148
299	919	2144
300	921	2140
301	924	2136
302	927	2133
303	929	2129
304	932	2125
305	935	2121
306	938	2117
307	940	2113
308	943	2109
309	946	2105
310	948	2101
311	951	2097
312	953	2093
313	956	2089
314	959	2085
315	961	2081
316	964	2077
317	966	2073
318	969	2069
319	971	2065
320	974	2060
321	976	2056
322	979	2052
323	981	2048
324	984	2043
325	986	2039
326	989	2036
327	991	2032
328	994	2028
329	996	2023
330	999	2019
331	1001	2015
332	1004	2011
333	1006	2007
334	1009	2003
335	1011	1999
336	1014	1995
337	1016	1991
338	1019	1987
339	1022	1984
340	1024	1980
341	1027	1976
342	1029	1972
343	1032	1968
344	1034	1964
345	1037	1961
346	1040	1957
347	1042	1953
348	1045	1949
349	1047	1946
350	1050	1942
351	1053	1938
352	1055	1934
353	1058	1931
354	1060	1927
355	1063	1923
356	1065	1919
357	1068	1916
358	1071	1912
359	1073	1908
360	1076	1905
361	1078	1901
362	1081	1897
363	1084	1894
364	1086	1890
365	1089	1886
366	1091	1883
367	1094	1879
368	1096	1875
369	1099	1872
370	1102	1868
371	1104	1865
372	1107	1861
373	1109	1857
374	1112	1854
375	1115	1850
376	1117	1846
377	1120	1843
378	1122	1839
379	1125	1835
380	1127	1832
381	1130	1828
382	1132	1825
383	1135	1821
384	1138	1817
385	1140	1814
386	1142	1810
387	1145	1806
388	1147	1803
389	1150	1799
390	1153	1796
391	1155	1792
392	1158	1788
393	1160	1785
394	1163	1781
395	1165	1778
396	1168	1774
397	1170	1770
398	1173	1767
399	1175	1763
400	1177	1759
401	1180	1755
402	1182	1752
403	1185	1748
404	1188	1745
405	1190	1741
406	1193	1738
407	1195	1734
408	1198	1731
409	1200	1728
410	1203	1724
411	1205	1721
412	1208	1717
413	1211	1714
414	1213	1710
415	1215	1707
416	1218	1703
417	1221	1700
418	1224	1697
419	1226	1693
420	1228	1690
421	1231	1686
422	1233	1683
423	1236	1679
424	1239	1676
425	1241	1673
426	1244	1669
427	1246	1666
428	1249	1662
429	1251	1659
430	1254	1656
431	1257	1652
432	1259	1649
433	1262	1645
434	1264	1642
435	1267	1639
436	1270	1636
437	1272	1632
438	1275	1629
439	1277	1625
440	1280	1622
441	1282	1619
442	1285	1616
443	1288	1612
444	1290	1609
445	1293	1606
446	1295	1602
447	1298	1599
448	1301	1596
449	1303	1593
450	1306	1590
451	1308	1586
452	1311	1583
453	1313	1580
454	1316	1577
455	1319	1573
456	1321	1570
457	1324	1567
458	1327	1564
459	1329	1560
460	1332	1557
461	1334	1554
462	1337	1550
463	1339	1547
464	1342	1544
465	1344	1540
466	1347	1537
467	1350	1534
468	1352	1531
469	1355	1528
470	1357	1525
471	1360	1521
472	1362	1518
473	1365	1515
474	1367	1511
475	1370	1508
476	1372	1505
477	1375	1502
478	1378	1498
479	1380	1495
480	1383	1492
481	1385	1489
482	1388	1485
483	1390	1482
484	1393	1479
485	1395	1476
486	1398	1473
487	1401	1470
488	1403	1466
489	1406	1463
490	1408	1460
491	1411	1457
492	1414	1454
493	1416	1450
494	1418	1447
495	1421	1444
496	1424	1441
497	1426	1438
498	1429	1435
499	1432	1432
500	1434	1429
501	1437	1425
502	1439	1422
503	1442	1419
504	1444	1416
505	1447	1413
506	1450	1410
507	1452	1406
508	1455	1403
509	1457	1400
510	1460	1397
511	1462	1394
512	1465	1391
513	1467	1387
514	1470	1384
515	1472	1381
516	1475	1378
517	1477	1375
518	1480	1371
519	1482	1368
520	1485	1365
521	1487	1362
522	1490	1359
523	1493	1356
524	1495	1353
525	1498	1350
526	1501	1347
527	1503	1344
528	1505	1340
529	1508	1337
530	1510	1334
531	1513	1331
532	1516	1328
533	1518	1325
534	1521	1322
535	1523	1318
536	1526	1315
537	1528	1312
538	1531	1309
539	1533	1306
540	1536	1303
541	1538	1300
542	1541	1297
543	1543	1294
544	1546	1291
545	1548	1287
546	1551	1284
547	1553	1281
548	1556	1278
549	1558	1275
550	1561	1272
551	1563	1269
552	1566	1266
553	1569	1263
554	1571	1260
555	1574	1257
556	1576	1254
557	1579	1251
558	1582	1248
559	1584	1244
560	1587	1241
561	1589	1238
562	1592	1235
563	1594	1232
564	1597	1229
565	1599	1226
566	1602	1223
567	1604	1220
568	1607	1217
569	1609	1214
570	1612	1211
571	1614	1208
572	1617	1205
573	1619	1202
574	1622	1198
575	1624	1196
576	1627	1193
577	1630	1190
578	1632	1187
579	1635	1184
580	1637	1181
581	1640	1178
582	1643	1175
583	1645	1172
584	1648	1169
585	1650	1166
586	1653	1163
587	1656	1160
588	1658	1157
589	1661	1154
590	1663	1151
591	1666	1148
592	1668	1145
593	1671	1142
594	1673	1139
595	1676	1136
596	1678	1133
597	1680	1130
598	1683	1127
599	1686	1124
600	1688	1121
601	1691	1118
602	1693	1115
603	1696	1112
604	1698	1109
605	1701	1106
606	1703	1103
607	1706	1100
608	1709	1097
609	1711	1094
610	1714	1091
611	1716	1088
612	1719	1085
613	1721	1082
614	1724	1079
615	1726	1076
616	1729	1073
617	1732	1070
618	1734	1067
619	1737	1064
620	1739	1061
621	1742	1058
622	1745	1056
623	1747	1053
624	1750	1050
625	1752	1047
626	1755	1044
627	1757	1041
628	1760	1038
629	1762	1035
630	1765	1032
631	1767	1029
632	1770	1026
633	1773	1023
634	1775	1020
635	1778	1017
636	1780	1014
637	1783	1011
638	1785	1008
639	1788	1005
640	1790	1003
641	1793	1000
642	1795	997
643	1798	994
644	1800	991
645	1803	988
646	1805	985
647	1808	982
648	1811	979
649	1813	976
650	1816	973
651	1818	970
652	1821	967
653	1824	964
654	1826	962
655	1829	959
656	1831	956
657	1834	953
658	1836	950
659	1839	947
660	1842	944
661	1844	941
662	1847	938
663	1849	935
664	1851	932
665	1854	930
666	1857	927
667	1859	924
668	1861	921
669	1864	918
670	1866	915
671	1869	912
672	1872	909
673	1874	906
674	1877	903
675	1879	900
676	1882	898
677	1884	895
678	1887	892
679	1890	889
680	1892	886
681	1895	883
682	1897	880
683	1900	877
684	1903	875
685	1905	872
686	1908	869
687	1910	866
688	1913	863
689	1915	860
690	1918	857
691	1920	854
692	1923	852
693	1925	849
694	1928	846
695	1930	843
696	1933	840
697	1935	837
698	1938	834
699	1941	831
700	1943	829
701	1946	826
702	1948	823
703	1951	820
704	1954	817
705	1956	814
706	1959	811
707	1961	809
708	1963	806
709	1966	803
710	1969	800
711	1971	797
712	1974	794
713	1976	791
714	1978	788
715	1981	785
716	1983	783
717	1986	780
718	1988	777
719	1991	774
720	1993	771
721	1996	768
722	1998	765
723	2001	762
724	2003	760
725	2006	757
726	2009	754
727	2011	751
728	2014	748
729	2016	745
730	2019	743
731	2022	740
732	2024	737
733	2027	734
734	2029	731
735	2032	729
736	2035	726
737	2037	723
738	2040	720
739	2042	717
740	2045	714
741	2048	712
742	2050	709
743	2053	706
744	2056	703
745	2058	700
746	2060	698
747	2063	695
748	2065	692
749	2068	689
750	2071	686
751	2073	683
752	2076	681
753	2078	678
754	2081	675
755	2083	672
756	2086	669
757	2089	666
758	2091	664
759	2094	661
760	2096	658
761	2099	655
762	2101	652
763	2104	650
764	2106	647
765	2109	644
766	2111	641
767	2114	638
768	2117	635
769	2119	633
770	2122	630
771	2125	627
772	2127	624
773	2130	621
774	2132	619
775	2135	616
776	2138	613
777	2141	610
778	2143	608
779	2146	605
780	2148	602
781	2151	599
782	2154	596
783	2156	594
784	2159	591
785	2161	588
786	2164	585
787	2167	583
788	2170	580
789	2173	577
790	2175	574
791	2178	572
792	2180	569
793	2183	566
794	2186	563
795	2188	560
796	2191	558
797	2193	555
798	2196	552
799	2198	549
800	2201	546
801	2204	544
802	2206	541
803	2209	538
804	2211	535
805	2214	532
806	2217	530
807	2219	527
808	2222	524
809	2224	521
810	2226	518
811	2229	516
812	2232	513
813	2234	510
814	2237	507
815	2239	505
816	2242	502
817	2245	499
818	2247	496
819	2250	493
820	2252	491
821	2255	488
822	2257	485
823	2260	482
824	2262	480
825	2265	477
826	2268	474
827	2270	471
828	2273	468
829	2275	466
830	2278	463
831	2280	460
832	2283	457
833	2285	454
834	2288	452
835	2291	449
836	2293	446
837	2296	443
838	2299	441
839	2301	438
840	2304	435
841	2307	432
842	2309	430
843	2311	427
844	2314	424
845	2316	421
846	2319	418
847	2321	416
848	2324	413
849	2326	410
850	2329	407
851	2331	405
852	2334	402
853	2336	399
854	2339	396
855	2342	393
856	2344	391
857	2347	388
858	2349	385
859	2352	382
860	2355	380
861	2357	377
862	2360	374
863	2362	371
864	2365	369
865	2367	366
866	2370	363
867	2373	360
868	2375	358
869	2378	355
870	2380	352
871	2383	349
872	2385	347
873	2388	344
874	2390	341
875	2393	338
876	2395	336
877	2398	333
878	2400	330
879	2403	327
880	2405	324
881	2408	322
882	2410	319
883	2413	316
884	2416	313
885	2418	311
886	2421	308
887	2423	305
888	2426	302
889	2429	300
890	2431	297
891	2434	294
892	2437	292
893	2439	289
894	2442	286
895	2445	283
896	2447	281
897	2450	278
898	2452	275
899	2455	272
900	2457	270
901	2460	267
902	2463	264
903	2465	261
904	2468	259
905	2471	256
906	2473	253
907	2476	250
