iter	Passed	Remaining
0	142	142458
1	145	72492
2	148	49260
3	151	37614
4	153	30624
5	156	25968
6	159	22645
7	162	20143
8	165	18217
9	168	16670
10	171	15408
11	174	14345
12	177	13442
13	179	12664
14	182	11997
15	185	11427
16	188	10910
17	191	10452
18	194	10039
19	197	9670
20	200	9338
21	203	9037
22	206	8756
23	208	8498
24	211	8263
25	214	8050
26	217	7848
27	220	7660
28	223	7479
29	226	7313
30	229	7159
31	231	7014
32	234	6882
33	237	6749
34	240	6627
35	243	6507
36	245	6398
37	248	6294
38	251	6199
39	254	6107
40	257	6013
41	259	5928
42	262	5844
43	265	5772
44	268	5695
45	271	5627
46	274	5563
47	277	5499
48	280	5437
49	283	5385
50	286	5327
51	289	5270
52	291	5215
53	294	5163
54	297	5114
55	300	5068
56	303	5026
57	306	4979
58	309	4934
59	312	4890
60	315	4850
61	317	4807
62	320	4767
63	323	4728
64	325	4688
65	328	4648
66	331	4612
67	334	4578
68	337	4548
69	339	4513
70	342	4479
71	345	4452
72	348	4422
73	351	4393
74	353	4361
75	356	4331
76	358	4301
77	361	4276
78	364	4253
79	367	4226
80	370	4202
81	373	4175
82	375	4150
83	378	4127
84	382	4113
85	385	4094
86	387	4071
87	390	4048
88	393	4026
89	396	4007
90	399	3985
91	401	3964
92	404	3944
93	407	3923
94	409	3904
95	412	3885
96	415	3866
97	418	3849
98	420	3830
99	423	3810
100	426	3792
101	428	3776
102	431	3758
103	434	3742
104	437	3726
105	440	3711
106	442	3696
107	445	3679
108	448	3664
109	450	3648
110	453	3632
111	456	3617
112	459	3603
113	461	3588
114	464	3573
115	466	3558
116	469	3544
117	472	3531
118	475	3518
119	477	3503
120	480	3489
121	482	3475
122	485	3462
123	488	3449
124	491	3438
125	493	3425
126	496	3412
127	499	3400
128	501	3388
129	504	3376
130	507	3364
131	509	3353
132	512	3341
133	515	3329
134	518	3319
135	520	3307
136	523	3297
137	526	3289
138	529	3278
139	532	3268
140	534	3258
141	537	3248
142	540	3240
143	543	3230
144	546	3221
145	548	3211
146	551	3199
147	554	3190
148	556	3179
149	559	3169
150	562	3161
151	564	3152
152	567	3142
153	570	3133
154	573	3125
155	576	3117
156	578	3108
157	581	3099
158	584	3090
159	587	3082
160	590	3075
161	593	3068
162	595	3059
163	598	3050
164	601	3043
165	604	3036
166	607	3029
167	610	3020
168	612	3013
169	615	3006
170	618	2997
171	621	2989
172	623	2981
173	626	2974
174	629	2966
175	632	2959
176	634	2951
177	637	2944
178	640	2937
179	643	2929
180	645	2922
181	648	2915
182	651	2909
183	654	2903
184	657	2897
185	660	2889
186	662	2882
187	665	2875
188	668	2868
189	671	2862
190	674	2855
191	676	2848
192	679	2842
193	682	2835
194	685	2829
195	688	2823
196	691	2816
197	693	2810
198	696	2804
199	699	2798
200	702	2791
201	705	2785
202	707	2779
203	710	2773
204	713	2767
205	716	2760
206	719	2755
207	721	2748
208	724	2743
209	727	2737
210	730	2732
211	733	2726
212	736	2720
213	738	2714
214	741	2707
215	744	2701
216	747	2695
217	749	2689
218	752	2684
219	755	2678
220	758	2672
221	760	2666
222	763	2661
223	766	2655
224	769	2650
225	772	2643
226	774	2638
227	777	2632
228	780	2626
229	782	2621
230	785	2616
231	788	2610
232	791	2604
233	793	2598
234	796	2592
235	799	2588
236	802	2583
237	805	2577
238	807	2572
239	810	2566
240	813	2561
241	816	2556
242	818	2550
243	821	2546
244	824	2540
245	827	2534
246	829	2529
247	832	2524
248	835	2519
249	838	2514
250	840	2509
251	843	2504
252	846	2499
253	849	2494
254	852	2489
255	854	2484
256	857	2479
257	860	2474
258	863	2469
259	866	2465
260	868	2460
261	871	2454
262	874	2449
263	876	2444
264	880	2440
265	882	2435
266	885	2430
267	888	2426
268	891	2421
269	893	2416
270	896	2412
271	899	2407
272	902	2402
273	905	2397
274	907	2392
275	910	2387
276	913	2384
277	915	2378
278	918	2373
279	921	2369
280	924	2364
281	926	2359
282	929	2355
283	932	2350
284	935	2345
285	937	2341
286	940	2336
287	943	2331
288	945	2327
289	948	2322
290	951	2317
291	954	2313
292	956	2308
293	959	2304
294	962	2299
295	965	2295
296	968	2291
297	971	2287
298	973	2282
299	976	2278
300	979	2274
301	981	2269
302	984	2265
303	987	2260
304	990	2256
305	992	2252
306	995	2247
307	998	2243
308	1001	2238
309	1003	2234
310	1006	2229
311	1009	2225
312	1012	2221
313	1014	2216
314	1017	2212
315	1020	2207
316	1022	2203
317	1025	2199
318	1028	2194
319	1030	2190
320	1033	2186
321	1036	2181
322	1039	2177
323	1041	2174
324	1044	2169
325	1047	2165
326	1049	2160
327	1052	2157
328	1055	2152
329	1058	2148
330	1060	2144
331	1063	2139
332	1066	2135
333	1068	2131
334	1071	2126
335	1074	2123
336	1076	2118
337	1079	2114
338	1082	2110
339	1084	2106
340	1087	2101
341	1090	2097
342	1092	2092
343	1095	2088
344	1097	2084
345	1100	2080
346	1103	2075
347	1105	2071
348	1108	2067
349	1111	2063
350	1113	2059
351	1116	2055
352	1119	2051
353	1122	2047
354	1124	2043
355	1127	2039
356	1130	2035
357	1133	2032
358	1135	2027
359	1138	2024
360	1141	2020
361	1144	2016
362	1147	2013
363	1150	2009
364	1153	2005
365	1155	2002
366	1158	1998
367	1161	1994
368	1164	1991
369	1167	1987
370	1170	1983
371	1172	1980
372	1175	1975
373	1178	1972
374	1180	1968
375	1183	1964
376	1186	1960
377	1189	1956
378	1191	1952
379	1194	1948
380	1197	1945
381	1199	1941
382	1202	1937
383	1205	1934
384	1208	1930
385	1211	1926
386	1213	1922
387	1216	1918
388	1219	1915
389	1222	1911
390	1225	1908
391	1227	1904
392	1230	1900
393	1233	1897
394	1236	1893
395	1239	1890
396	1242	1886
397	1244	1882
398	1247	1879
399	1250	1875
400	1253	1872
401	1255	1868
402	1258	1864
403	1261	1861
404	1264	1857
405	1267	1853
406	1270	1850
407	1272	1846
408	1275	1843
409	1278	1839
410	1281	1835
411	1283	1832
412	1286	1828
413	1289	1825
414	1292	1821
415	1295	1817
416	1297	1814
417	1300	1811
418	1303	1807
419	1306	1803
420	1308	1800
421	1311	1796
422	1314	1792
423	1317	1789
424	1320	1786
425	1322	1782
426	1325	1778
427	1328	1774
428	1330	1771
429	1333	1767
430	1336	1764
431	1338	1760
432	1341	1756
433	1344	1753
434	1346	1749
435	1349	1746
436	1352	1742
437	1355	1738
438	1358	1735
439	1360	1731
440	1363	1728
441	1366	1724
442	1368	1721
443	1371	1717
444	1374	1713
445	1376	1710
446	1379	1706
447	1382	1703
448	1385	1699
449	1387	1696
450	1390	1692
451	1393	1689
452	1395	1685
453	1398	1682
454	1401	1678
455	1403	1674
456	1406	1671
457	1409	1667
458	1411	1664
459	1414	1660
460	1417	1657
461	1420	1653
462	1422	1650
463	1425	1646
464	1428	1643
465	1431	1639
466	1433	1636
467	1436	1633
468	1439	1629
469	1442	1626
470	1445	1623
471	1448	1619
472	1450	1616
473	1453	1612
474	1455	1608
475	1458	1605
476	1461	1602
477	1463	1598
478	1466	1595
479	1469	1591
480	1471	1588
481	1474	1584
482	1477	1581
483	1479	1577
484	1482	1574
485	1485	1571
486	1488	1567
487	1491	1564
488	1494	1561
489	1496	1557
490	1499	1554
491	1502	1551
492	1505	1548
493	1508	1544
494	1511	1541
495	1513	1538
496	1516	1534
497	1519	1531
498	1521	1527
499	1524	1524
500	1527	1521
501	1530	1517
